Predictable,FatorUrbano,InfLim,SupLim
Atividade,(Intercept),-38966.7181638006,-37598.494256939
Atividade,capital,3074.70838527355,3232.34167301501
Atividade,log(populacao),3045.46696376345,3149.18288916253
Atualidade,(Intercept),-5.97361301852007,-5.32576818610933
Atualidade,IDHM,0.00326517874202125,0.00351823018264131
Atualidade,log(populacao),0.868756960622298,0.917072109545926
Diversidade,(Intercept),0.989661863672526,1.02515647522915
Diversidade,capital,-0.943017430681637,-0.900126197793007
Diversidade,Taxas.2010,0.0220468286355227,0.0228117295602925
Densidade,(Intercept),1295.27749327103,1365.40501431661
Densidade,IFDM,-1503.31262999295,-1415.82206568419
Cobertura,(Intercept),28.9599579867186,29.3160420132814
atividadePor100Hab,(Intercept),5799.36023947137,6006.39512827063
atividadePor100Hab,log(populacao),-389.862689695785,-375.206551313977
atividadePor100Hab,capital,686.064743079323,709.598248756247
atividadePor100Hab,log(IFDM),-1427.01636009751,-1320.80697467219
atividadePor100Hab,log(Taxas.2010),-225.293271778154,-211.358884656452
